state,county_state,state,county,fips,population,year,poverty_rate, median_income ,snap_rate,rent_burden,unemployment_rate,female_headed,no_vehicle,hs_or_less,gini,black_pct,hispanic_pct,Overall Food Insecurity Rate,No of Food Insecure Persons Overall,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI < SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,No of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL, Cost Per Meal , Weighted Annual Food Budget Shortfall ,state,Census Region,Census Division,FNS Region
AK,"Aleutians West Census Area, Alaska",2,16,2016,5538,2013,9%," 81,853.00 ",5.71%,52.05%,4.00%,1.36%,14.23%,17.27%,38.27%,6.54%,10.67%,16.40%,910,1.3,SNAP,1.85,Other Nutrition Program,43.7%,26.4%,18.9%,160.0,43%,57%, 5.22 ," 840,000.00 ",AK,West,Pacific,Western
AK,"Bristol Bay Borough, Alaska",2,60,2060,933,2013,8%," 79,531.00 ",4.95%,43.90%,4.58%,1.04%,11.72%,8.25%,34.85%,0.11%,5.47%,11.60%,110,1.3,SNAP,1.85,Other Nutrition Program,30.4%,57.5%,15.6%,40.0,37%,63%, 3.30 ," 64,000.00 ",AK,West,Pacific,Western
AK,"Northwest Arctic Borough, Alaska",2,188,2188,7624,2013,22%," 61,607.00 ",31.67%,50.25%,26.23%,4.54%,65.65%,21.34%,40.50%,0.60%,1.14%,21.40%,1630,1.3,SNAP,1.85,Other Nutrition Program,69.7%,6.8%,30.2%,810.0,88%,12%, 3.72 ," 1,074,000.00 ",AK,West,Pacific,Western
AK,"Bethel Census Area, Alaska",2,50,2050,17356,2013,23%," 51,689.00 ",35.15%,47.06%,18.61%,2.82%,57.23%,20.51%,44.86%,0.56%,1.37%,21.00%,3650,1.3,SNAP,1.85,Other Nutrition Program,72.8%,3.2%,30.1%,1890.0,91%,9%, 3.32 ," 2,143,000.00 ",AK,West,Pacific,Western
AK,"Wade Hampton Census Area, Alaska",2,270,2270,7678,2013,31%," 40,176.00 ",52.24%,59.52%,28.07%,3.61%,83.66%,23.36%,39.80%,0.20%,0.22%,25.80%,1980,1.3,SNAP,1.85,Other Nutrition Program,88.3%,0.0%,37.4%,1200.0,100%,0%, 3.98 ," 1,396,000.00 ",AK,West,Pacific,Western
AK,"Sitka City and Borough, Alaska",2,220,2220,8945,2013,10%," 69,405.00 ",11.87%,56.01%,5.33%,2.64%,14.41%,8.80%,38.13%,0.80%,5.31%,13.30%,1190,1.3,SNAP,1.85,Other Nutrition Program,42.5%,44.7%,18.8%,400.0,55%,45%, 3.17 ," 667,000.00 ",AK,West,Pacific,Western
AK,"Ketchikan Gateway Borough, Alaska",2,130,2130,13595,2013,10%," 62,519.00 ",13.56%,45.95%,8.70%,3.68%,13.07%,6.49%,39.81%,0.27%,4.42%,13.80%,1880,1.3,SNAP,1.85,Other Nutrition Program,42.0%,40.5%,18.3%,590.0,57%,43%, 2.91 ," 968,000.00 ",AK,West,Pacific,Western
AK,"Matanuska-Susitna Borough, Alaska",2,170,2170,91519,2013,10%," 71,037.00 ",10.64%,53.50%,10.47%,2.57%,3.50%,7.57%,40.42%,0.92%,4.04%,12.40%,11370,1.3,SNAP,1.85,Other Nutrition Program,46.4%,36.3%,19.1%,4970.0,58%,42%, 3.74 ," 7,530,000.00 ",AK,West,Pacific,Western
AK,"Dillingham Census Area, Alaska",2,70,2070,4923,2013,18%," 54,150.00 ",21.81%,48.32%,16.10%,4.71%,37.86%,16.29%,43.78%,0.37%,2.32%,17.60%,870,1.3,SNAP,1.85,Other Nutrition Program,67.5%,3.9%,25.1%,410.0,87%,14%, 3.33 ," 512,000.00 ",AK,West,Pacific,Western
AK,"Haines Borough, Alaska",2,100,2100,2546,2013,8%," 52,866.00 ",7.63%,56.05%,8.29%,4.82%,7.55%,3.59%,37.59%,0.39%,0.86%,14.50%,370,1.3,SNAP,1.85,Other Nutrition Program,37.2%,37.4%,20.0%,100.0,52%,48%, 3.18 ," 208,000.00 ",AK,West,Pacific,Western
