"NAME","B01001_001E","state","county","B19013_001E","B17001_002E","B17001_001E","B02001_001E","B02001_002E","B02001_003E","B02001_005E","B03003_003E","B03003_001E","B23025_005E","B23025_003E","B11005_016E","B11005_001E","B08201_002E","B08201_001E","B19083_001E","B15003_002E","B15003_003E","B15003_004E","B15003_005E","B15003_006E","B15003_007E","B15003_008E","B15003_009E","B15003_010E","B15003_011E","B15003_012E","B15003_013E","B15003_014E","B15003_015E","B15003_016E","B15003_001E","B22003_002E","B22003_001E","B25070_001E","B25070_007E","B25070_008E","B25070_009E","B25070_010E","B25070_011E","population","poverty_rate","median_income","snap_rate","rent_burden","unemployment_rate","female_headed","no_vehicle","hs_or_less","gini","black_pct","hispanic_pct","fips","FA_State","County, State","2011 Food Insecurity Rate","Number of Food Insecure Persons in 2011","Low Threshold in state","Low Threshold Type","High Threshold in state","High Threshold Type","% FI ≤ Low Threshold","% FI Btwn Thresholds","% FI > High Threshold","2011 Child Food Insecurity Rate","Number of Food Insecure Children in 2011","% food insecure children in HH w/ HH incomes below 185 FPL","% of food insecure children in HH w/ HH incomes above 185 FPL","2011 Cost Per Meal","2011 Weighted Annual Food Budget Shortfall","year"
"Clay County, North Carolina","10506","37","043","36711","2262","10380","10506","10197","72","0","229","10506","532","4422","215","4464","191","4464","0.4553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10506,0.217919075144509,36711,NA,NA,0.120307553143374,0.048163082437276,0.0427867383512545,NA,0.4553,0.00685322672758424,0.0217970683418999,"37043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"Cumberland County, North Carolina","316478","37","051","44861","50175","302057","316478","164825","112692","7278","29131","316478","15705","132871","5336","118117","7385","118117","0.4354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316478,0.166111032023757,44861,NA,NA,0.118197349308728,0.045175546280383,0.062522752863686,NA,0.4354,0.356081623367185,0.0920474724941386,"37051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"Guilford County, North Carolina","483081","37","081","46288","76141","469463","483081","281403","156148","19180","33266","483081","25793","256505","8138","192064","14361","192064","0.4760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483081,0.162187435431546,46288,NA,NA,0.100555544726224,0.0423712929023659,0.0747719510163279,NA,0.476,0.323233577805792,0.0688621576919813,"37081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"Jackson County, North Carolina","39574","37","099","36826","7028","35995","39574","33234","786","234","1876","39574","1353","19296","630","15759","886","15759","0.4551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39574,0.195249340186137,36826,NA,NA,0.0701181592039801,0.039977155910908,0.056221841487404,NA,0.4551,0.019861525243847,0.047404861777935,"37099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"Pasquotank County, North Carolina","40511","37","139","45298","7589","38228","40511","23321","15349","431","1597","40511","2473","20131","848","14550","1464","14550","0.4889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40511,0.19851940985665,45298,NA,NA,0.122845362873181,0.0582817869415808,0.100618556701031,NA,0.4889,0.378884747352571,0.0394213917207672,"37139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"Robeson County, North Carolina","133033","37","155","30874","39625","129366","133033","41462","32082","1048","10602","133033","5835","53906","2528","44528","3947","44528","0.4805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133033,0.306301501167231,30874,NA,NA,0.108243980261937,0.0567732662594323,0.0886408551922386,NA,0.4805,0.241158208865469,0.0796945118880278,"37155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"Swain County, North Carolina","13932","37","173","40719","3072","13682","13932","9472","226","72","530","13932","558","5954","328","5455","359","5455","0.4374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13932,0.22452857769332,40719,NA,NA,0.0937185085656701,0.06012832263978,0.0658111824014666,NA,0.4374,0.0162216480045937,0.0380419178868791,"37173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"Wake County, North Carolina","879658","37","183","65289","86939","858079","879658","598722","182589","46210","83115","879658","33516","484798","9227","334302","15591","334302","0.4382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,879658,0.101318176997689,65289,NA,NA,0.0691339485723951,0.0276007920981627,0.0466374715077983,NA,0.4382,0.207568168538227,0.0944855841702116,"37183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"Anson County, North Carolina","26788","37","007","34659","5256","24333","26788","12702","12907","297","788","26788","1767","11853","696","9688","849","9688","0.4598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26788,0.216002958944643,34659,NA,NA,0.149076183244748,0.0718414533443435,0.0876341866226259,NA,0.4598,0.481820218008063,0.0294161564879797,"37007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"McDowell County, North Carolina","44825","37","111","35230","8097","43761","44825","41429","1575","413","2299","44825","2331","21395","684","17483","1280","17483","0.4355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44825,0.185027764447796,35230,NA,NA,0.108950689413414,0.0391237201853229,0.0732139792941715,NA,0.4355,0.0351366424986057,0.0512883435582822,"37111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
