NAME,state,county,population,poverty_rate,median_income,snap_rate,rent_burden,unemployment_rate,female_headed,no_vehicle,hs_or_less,gini,black_pct,hispanic_pct,fips,State Name,FA_State,2012 Food Insecurity Rate,# of Food Insecure Persons in 2012,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2012 Child Food Insecurity Rate,# of Food Insecure Children in 2012,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2012,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2012,2012 Cost Per Meal,2012 Weighted Annual Food Budget Shortfall,year
"Linn County, Missouri",29,115,12668,0.134390517,39028,0.103016622,0.583747927,0.067351808,0.031602709,0.079006772,0.114878893,0.4563,0.005920429,0.015472056,29115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"Howell County, Missouri",29,91,40330,0.206424447,34148,0.174163783,0.574601121,0.08059477,0.021594259,0.0757401,0.159354719,0.4341,0.00337218,0.017307215,29091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"Johnson County, Missouri",29,101,52964,0.165848549,47960,0.103870478,0.603740344,0.078666235,0.020237794,0.045383253,0.089840137,0.403,0.044822899,0.031851824,29101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"Laclede County, Missouri",29,105,35507,0.185112159,39101,0.165502153,0.504296587,0.09296903,0.027313148,0.062742607,0.192775633,0.4219,0.00659025,0.019911567,29105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"Maries County, Missouri",29,125,9140,0.142524659,44885,0.093344156,0.544137022,0.100730927,0.031385281,0.030032468,0.163691425,0.3987,0.008315098,0.009080963,29125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"Phelps County, Missouri",29,161,44825,0.188017769,41388,0.136382787,0.551655957,0.078613492,0.034246163,0.071561842,0.134732293,0.4421,0.022576687,0.020747351,29161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"Platte County, Missouri",29,165,89567,0.073288745,67419,0.052875028,0.425456308,0.06149833,0.024789497,0.042211389,0.061230234,0.4213,0.059117755,0.050185894,29165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"St. Francois County, Missouri",29,187,65246,0.183493786,36716,0.21117205,0.536134904,0.098779612,0.029494211,0.067276051,0.209184688,0.4365,0.046914753,0.012215308,29187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"St. Louis city, Missouri",29,510,318527,0.270446647,34384,0.249899886,0.582048552,0.142311906,0.058652746,0.214116133,0.176533502,0.4972,0.489490687,0.034549661,29510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"Andrew County, Missouri",29,3,17205,0.074845818,57406,0.067781427,0.465492958,0.058885054,0.019707375,0.04210212,0.098412159,0.3856,0.00639349,0.017088056,29003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
