"NAME","B01001_001E","state","county","B19013_001E","B17001_002E","B17001_001E","B02001_001E","B02001_002E","B02001_003E","B02001_005E","B03003_003E","B03003_001E","B22003_002E","B22003_001E","B25070_001E","B25070_007E","B25070_008E","B25070_009E","B25070_010E","B25070_011E","B23025_005E","B23025_003E","B11005_016E","B11005_001E","B08201_002E","B08201_001E","B15003_002E","B15003_003E","B15003_004E","B15003_005E","B15003_006E","B15003_007E","B15003_008E","B15003_009E","B15003_010E","B15003_011E","B15003_012E","B15003_013E","B15003_014E","B15003_015E","B15003_016E","B15003_001E","B19083_001E","population","poverty_rate","median_income","snap_rate","rent_burden","unemployment_rate","female_headed","no_vehicle","hs_or_less","gini","black_pct","hispanic_pct","fips"
"Autauga County, Alabama","58761","01","001","68315","6630","58291","58761","43747","11496","658","1864","58761","2014","22308","5476","140","228","237","892","803","752","27163","1247","22308","888","22308","248","14","0","0","0","18","2","10","122","48","232","554","1169","736","704","40188","0.4541",58761,0.11373968537167,68315,0.0902815133584364,0.420014609203798,0.0276847181828222,0.055899228976152,0.0398063474986552,0.0959739225639494,0.4541,0.195639965283096,0.0317217201885604,"01001"
"Baldwin County, Alabama","233420","01","003","71039","23445","229539","233420","195998","19445","2046","11210","233420","6633","90802","20094","1527","1142","2053","4227","2445","3825","111079","2905","90802","2056","90802","1257","0","98","0","118","0","154","28","710","188","797","1349","3175","2858","3299","167022","0.4648",233420,0.102139505704913,71039,0.0730490517830004,0.567034935801732,0.0344349517010416,0.0319926873857404,0.0226426730688751,0.0840068972949671,0.4648,0.0833047725130666,0.0480250192785537,"01003"
"Barbour County, Alabama","24877","01","005","39712","5280","21851","24877","11309","11668","126","1202","24877","2142","9016","3158","163","253","213","456","592","516","8968","571","9016","1058","9016","287","0","0","36","54","119","3","51","89","198","452","516","988","874","488","17675","0.5098",24877,0.24163653837353,39712,0.237577639751553,0.531032298923369,0.0575379125780553,0.0633318544809228,0.11734693877551,0.235077793493635,0.5098,0.469027615870081,0.0483177231981348,"01005"
"Bibb County, Alabama","22251","01","007","50669","4297","20836","22251","16872","4603","69","650","22251","1449","7216","1751","68","4","264","381","444","786","9028","103","7216","544","7216","363","0","45","0","0","9","0","46","106","91","358","403","509","707","729","15925","0.4553",22251,0.206229602610866,50669,0.20080376940133,0.663049685893775,0.087062472308374,0.0142738359201774,0.0753880266075388,0.211365777080063,0.4553,0.20686710709631,0.0292121702395398,"01007"
"Blount County, Alabama","59077","01","009","57440","8277","58399","59077","53941","729","100","5721","59077","2334","21626","4482","273","290","294","800","978","1578","26434","842","21626","1047","21626","986","20","0","5","4","112","180","278","529","366","428","762","1515","1233","1029","40817","0.4475",59077,0.14173187897053,57440,0.107925645056876,0.587907184292726,0.0596958462586063,0.0389346157403126,0.0484139461758994,0.182448489599922,0.4475,0.012339827682516,0.0968397176566176,"01009"
"Bullock County, Alabama","10328","01","011","36136","2687","9616","10328","2397","7117","43","907","10328","969","3450","1219","30","27","49","302","343","144","3888","215","3450","359","3450","200","0","4","0","0","39","39","40","153","69","166","147","397","218","433","7156","0.5058",10328,0.279430116472546,36136,0.280869565217391,0.616078753076292,0.037037037037037,0.0623188405797101,0.104057971014493,0.266210173281163,0.5058,0.689097598760651,0.0878195197521301,"01011"
"Butler County, Alabama","18981","01","013","44429","3937","18652","18981","9777","8462","243","322","18981","1096","7131","2084","138","107","114","472","391","548","8043","409","7131","359","7131","335","9","0","0","4","0","0","0","62","38","65","301","239","307","286","13266","0.4837",18981,0.211076560154407,44429,0.153695133922311,0.58637236084453,0.0681337809275146,0.0573552096480157,0.0503435703267424,0.124076586763154,0.4837,0.44581423528792,0.0169643327538064,"01013"
"Calhoun County, Alabama","116162","01","015","54339","20267","112350","116162","83306","25631","765","4736","116162","7908","44693","12999","877","753","916","2783","1344","3692","53147","2249","44693","2490","44693","963","0","6","0","0","96","115","124","396","457","1337","1674","2443","2479","1693","78931","0.4519",116162,0.18039163328883,54339,0.176940460474795,0.51334718055235,0.0694677027866107,0.0503210793636587,0.0557134226836417,0.149282284526992,0.4519,0.220648749160655,0.0407706478882939,"01015"
"Chambers County, Alabama","34612","01","017","48805","6080","34008","34612","19642","14114","60","1129","34612","2205","13143","3657","187","251","192","533","483","559","15631","1076","13143","916","13143","571","0","0","0","0","52","0","83","158","144","415","600","901","674","489","24706","0.4371",34612,0.178781463185133,48805,0.167769915544396,0.450095706863549,0.0357622672893609,0.0818686753404854,0.0696948946207106,0.165425402736177,0.4371,0.407777649370161,0.0326187449439501,"01017"
"Cherokee County, Alabama","25069","01","019","46621","3516","24658","25069","22884","1008","27","479","25069","1130","9997","2025","71","182","191","96","706","425","10713","492","9997","324","9997","310","0","0","2","25","0","14","31","118","135","590","393","575","883","272","18523","0.4484",25069,0.142590639954579,46621,0.113033910173052,0.615308641975309,0.0396714272379352,0.0492147644293288,0.0324097229168751,0.180748258921341,0.4484,0.0402090230962543,0.0191072639514939,"01019"
