"NAME","B01001_001E","state","county","year","B19013_001E","B17001_002E","B17001_001E","B23025_005E","B23025_003E","B02001_001E","B02001_002E","B02001_003E","B03003_003E","B03003_001E","B19083_001E","B15003_002E","B15003_003E","B15003_004E","B15003_005E","B15003_006E","B15003_007E","B15003_008E","B15003_009E","B15003_010E","B15003_011E","B15003_012E","B15003_013E","B15003_014E","B15003_015E","B15003_016E","B15003_001E","population","poverty_rate","median_income","snap_rate","rent_burden","female_headed","no_vehicle","hs_or_less","gini","black_pct","hispanic_pct","fips"
"Clay County, North Carolina","10506","37","043",2011,"36711","2262","10380","532","4422","10506","10197","72","229","10506","0.4553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10506,0.217919075144509,36711,NA,NA,NA,NA,NA,0.4553,0.00685322672758424,0.0217970683418999,"37043"
"Cumberland County, North Carolina","316478","37","051",2011,"44861","50175","302057","15705","132871","316478","164825","112692","29131","316478","0.4354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316478,0.166111032023757,44861,NA,NA,NA,NA,NA,0.4354,0.356081623367185,0.0920474724941386,"37051"
"Guilford County, North Carolina","483081","37","081",2011,"46288","76141","469463","25793","256505","483081","281403","156148","33266","483081","0.4760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483081,0.162187435431546,46288,NA,NA,NA,NA,NA,0.476,0.323233577805792,0.0688621576919813,"37081"
"Jackson County, North Carolina","39574","37","099",2011,"36826","7028","35995","1353","19296","39574","33234","786","1876","39574","0.4551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39574,0.195249340186137,36826,NA,NA,NA,NA,NA,0.4551,0.019861525243847,0.047404861777935,"37099"
"Pasquotank County, North Carolina","40511","37","139",2011,"45298","7589","38228","2473","20131","40511","23321","15349","1597","40511","0.4889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40511,0.19851940985665,45298,NA,NA,NA,NA,NA,0.4889,0.378884747352571,0.0394213917207672,"37139"
"Robeson County, North Carolina","133033","37","155",2011,"30874","39625","129366","5835","53906","133033","41462","32082","10602","133033","0.4805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133033,0.306301501167231,30874,NA,NA,NA,NA,NA,0.4805,0.241158208865469,0.0796945118880278,"37155"
"Swain County, North Carolina","13932","37","173",2011,"40719","3072","13682","558","5954","13932","9472","226","530","13932","0.4374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13932,0.22452857769332,40719,NA,NA,NA,NA,NA,0.4374,0.0162216480045937,0.0380419178868791,"37173"
"Wake County, North Carolina","879658","37","183",2011,"65289","86939","858079","33516","484798","879658","598722","182589","83115","879658","0.4382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,879658,0.101318176997689,65289,NA,NA,NA,NA,NA,0.4382,0.207568168538227,0.0944855841702116,"37183"
"Anson County, North Carolina","26788","37","007",2011,"34659","5256","24333","1767","11853","26788","12702","12907","788","26788","0.4598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26788,0.216002958944643,34659,NA,NA,NA,NA,NA,0.4598,0.481820218008063,0.0294161564879797,"37007"
"McDowell County, North Carolina","44825","37","111",2011,"35230","8097","43761","2331","21395","44825","41429","1575","2299","44825","0.4355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44825,0.185027764447796,35230,NA,NA,NA,NA,NA,0.4355,0.0351366424986057,0.0512883435582822,"37111"
"Franklin County, North Carolina","59607","37","069",2011,"44598","9006","57996","3477","29712","59607","39976","15481","4551","59607","0.4119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59607,0.155286571487689,44598,NA,NA,NA,NA,NA,0.4119,0.259717818377036,0.0763500931098696,"37069"
"Jones County, North Carolina","10066","37","103",2011,"40687","1476","9894","414","4652","10066","6284","3234","380","10066","0.4217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10066,0.149181322013341,40687,NA,NA,NA,NA,NA,0.4217,0.321279554937413,0.0377508444267832,"37103"
"Macon County, North Carolina","33719","37","113",2011,"38653","6104","33265","1263","15463","33719","31551","326","2043","33719","0.4811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33719,0.183496167142642,38653,NA,NA,NA,NA,NA,0.4811,0.00966813962454403,0.0605889854384768,"37113"
"Brunswick County, North Carolina","105242","37","019",2011,"45132","15661","104402","6008","48931","105242","89027","12254","5272","105242","0.4426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105242,0.150006704852397,45132,NA,NA,NA,NA,NA,0.4426,0.116436403717147,0.0500940689078505,"37019"
"Transylvania County, North Carolina","32670","37","175",2011,"41103","4163","31826","1073","14535","32670","30207","1049","920","32670","0.4527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32670,0.13080500219946,41103,NA,NA,NA,NA,NA,0.4527,0.0321089684726048,0.0281603917967554,"37175"
"Beaufort County, North Carolina","47392","37","013",2011,"40986","8974","46892","2645","22385","47392","32187","12405","3049","47392","0.4678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47392,0.191375927663567,40986,NA,NA,NA,NA,NA,0.4678,0.261753038487508,0.0643357528696826,"37013"
"Columbus County, North Carolina","57264","37","047",2011,"34938","12676","55075","2797","24158","57264","35287","17495","2519","57264","0.4728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57264,0.23015887426237,34938,NA,NA,NA,NA,NA,0.4728,0.305514808605756,0.0439892428052529,"37047"
"Lincoln County, North Carolina","77035","37","109",2011,"50279","10427","76218","4549","40436","77035","69492","4113","5334","77035","0.4374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77035,0.136804954210292,50279,NA,NA,NA,NA,NA,0.4374,0.05339131563575,0.0692412539754657,"37109"
"Montgomery County, North Carolina","27673","37","123",2011,"32946","6851","26437","1503","11934","27673","20653","4989","3887","27673","0.4993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27673,0.259144380981201,32946,NA,NA,NA,NA,NA,0.4993,0.180284031366314,0.140461821992556,"37123"
"Orange County, North Carolina","131856","37","135",2011,"56055","20542","121568","4494","70508","131856","100020","16110","10229","131856","0.5204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131856,0.168975388260068,56055,NA,NA,NA,NA,NA,0.5204,0.122178740444121,0.0775770537556122,"37135"
"Richmond County, North Carolina","46546","37","153",2011,"31847","11265","45212","3046","19125","46546","28772","14215","2655","46546","0.4553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46546,0.249159515172963,31847,NA,NA,NA,NA,NA,0.4553,0.305396811756112,0.0570403471834314,"37153"
"Sampson County, North Carolina","63161","37","163",2011,"36832","13084","62358","3243","30506","63161","36074","17267","10115","63161","0.4559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63161,0.209820712659162,36832,NA,NA,NA,NA,NA,0.4559,0.273380725447666,0.16014629280727,"37163"
"Surry County, North Carolina","73473","37","171",2011,"36788","13053","72429","3115","35372","73473","67717","2786","6918","73473","0.4444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73473,0.180217868533322,36788,NA,NA,NA,NA,NA,0.4444,0.0379186912199039,0.0941570372790004,"37171"
"Avery County, North Carolina","17844","37","011",2011,"37985","2819","15575","501","7839","17844","15383","749","758","17844","0.5222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17844,0.18099518459069,37985,NA,NA,NA,NA,NA,0.5222,0.0419748935216319,0.0424792647388478,"37011"
"Buncombe County, North Carolina","236230","37","021",2011,"44321","35952","230123","9437","123087","236230","209442","15458","13566","236230","0.4614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236230,0.156229494661551,44321,NA,NA,NA,NA,NA,0.4614,0.0654362274054947,0.0574270837742878,"37021"
"Cabarrus County, North Carolina","174730","37","025",2011,"54280","20514","172644","9592","91831","174730","137027","26263","16024","174730","0.4284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174730,0.118822548133732,54280,NA,NA,NA,NA,NA,0.4284,0.150306186688033,0.0917072054026212,"37025"
"Caswell County, North Carolina","23734","37","033",2011,"37926","4540","22181","1499","10478","23734","14831","8057","755","23734","0.4122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23734,0.204679680807899,37926,NA,NA,NA,NA,NA,0.4122,0.339470801381984,0.0318109041880846,"37033"
